Vardas              Pavardė            ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas1             Pavardė1           9      10     9      9      9      10     3      2      1      7      9      5      3      8      3      1
Vardas2             Pavardė2           7      4      7      8      6      5      2      10     3      2      1      5      2      3      4      9
Vardas3             Pavardė3           8      8      8      7      9      1      9      10     10     7      10     2      9      10     3      7
Vardas4             Pavardė4           6      4      3      1      7      5      8      10     7      3      8      5      4      3      2      2
Vardas5             Pavardė5           5      7      4      6      7      5      7      3      5      5      2      3      2      5      8      1
Vardas6             Pavardė6           1      3      3      6      2      6      2      8      10     10     4      7      9      9      9      4
Vardas7             Pavardė7           4      9      2      9      3      5      2      1      3      5      3      8      1      1      3      6
Vardas8             Pavardė8           3      7      2      3      1      2      4      8      9      2      5      6      1      3      8      5
Vardas9             Pavardė9           7      1      2      7      8      5      10     10     1      3      4      6      1      4      2      7
Vardas10            Pavardė10          8      2      8      1      1      2      7      10     3      3      9      4      5      7      6      2
Vardas11            Pavardė11          10     3      5      1      9      5      8      3      7      1      9      9      5      1      3      1
Vardas12            Pavardė12          10     5      8      2      9      1      4      2      1      3      1      4      6      6      9      10
Vardas13            Pavardė13          6      6      5      3      8      4      6      8      2      6      8      2      4      8      5      2
Vardas14            Pavardė14          6      9      6      4      2      9      2      1      3      9      8      9      7      3      3      10
Vardas15            Pavardė15          5      10     3      4      5      10     9      9      6      2      5      8      6      7      8      1
Vardas16            Pavardė16          10     2      5      5      7      8      10     6      8      3      7      4      8      9      8      2
Vardas17            Pavardė17          7      10     8      1      5      10     9      5      8      3      5      4      6      6      8      1
Vardas18            Pavardė18          3      5      1      10     2      4      6      2      8      5      1      3      1      10     3      3
Vardas19            Pavardė19          7      9      10     4      7      10     2      1      5      2      7      10     10     1      6      10
Vardas20            Pavardė20          9      3      3      8      7      8      10     4      4      1      9      3      2      1      4      1
Vardas21            Pavardė21          6      5      4      10     3      2      10     6      2      5      10     1      8      6      9      4
Vardas22            Pavardė22          7      5      5      4      4      3      3      6      1      8      8      8      3      5      8      10
