Vardas              Pavardė            ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas1             Pavardė1           10     8      4      9      2      10     3      4      1      9      5      10     1      2      8      8
Vardas2             Pavardė2           6      6      9      7      10     6      9      1      5      9      6      10     8      8      10     6
Vardas3             Pavardė3           5      8      9      3      3      5      6      9      10     9      5      7      9      10     2      2
Vardas4             Pavardė4           9      6      6      2      4      4      5      7      4      7      4      9      4      1      3      7
Vardas5             Pavardė5           3      3      5      5      7      8      5      5      5      8      4      8      6      2      7      2
Vardas6             Pavardė6           1      9      3      2      7      6      8      4      5      8      5      8      2      6      6      10
Vardas7             Pavardė7           5      9      10     5      3      6      3      9      1      3      4      10     2      7      10     1
Vardas8             Pavardė8           5      2      7      2      9      4      9      4      9      9      2      8      7      8      10     2
Vardas9             Pavardė9           1      1      4      9      7      2      1      8      10     1      8      5      3      8      3      9
Vardas10            Pavardė10          9      1      5      6      10     2      8      3      9      3      8      5      9      4      9      7
Vardas11            Pavardė11          8      2      9      2      3      4      10     3      3      3      5      5      3      5      4      4
Vardas12            Pavardė12          3      2      6      5      3      10     9      5      5      4      8      2      3      7      2      6
Vardas13            Pavardė13          9      9      4      8      3      8      7      5      6      1      7      6      7      7      2      2
Vardas14            Pavardė14          7      9      8      9      9      10     7      2      3      1      10     1      3      6      2      3
Vardas15            Pavardė15          6      7      6      5      3      1      1      3      3      2      10     9      1      6      8      9
Vardas16            Pavardė16          3      1      8      8      8      2      5      9      8      8      2      2      3      1      8      5
Vardas17            Pavardė17          1      2      4      5      1      3      10     8      2      10     2      10     7      1      7      1
Vardas18            Pavardė18          7      3      10     2      6      9      4      8      10     1      7      6      8      3      2      10
Vardas19            Pavardė19          9      2      8      5      2      2      9      5      8      4      3      6      5      6      1      1
Vardas20            Pavardė20          5      7      9      8      1      10     4      4      4      6      6      9      10     8      3      6
Vardas21            Pavardė21          5      9      8      4      4      5      6      4      7      6      3      2      5      3      7      4
Vardas22            Pavardė22          2      4      1      5      1      5      9      4      3      7      2      9      6      4      10     2
Vardas23            Pavardė23          3      7      5      3      7      8      8      10     4      2      10     6      6      6      8      8
Vardas24            Pavardė24          9      9      10     4      10     7      5      10     3      10     10     10     5      1      1      2
Vardas25            Pavardė25          3      10     9      7      6      10     2      7      9      9      9      9      9      6      3      4
Vardas26            Pavardė26          2      10     9      5      6      10     10     9      2      3      7      2      7      3      10     10
Vardas27            Pavardė27          6      8      7      1      7      2      10     5      4      2      10     4      6      3      6      6
Vardas28            Pavardė28          6      9      3      10     10     4      4      7      10     8      4      9      8      4      2      3
Vardas29            Pavardė29          6      5      4      8      7      5      9      7      3      1      10     6      4      1      8      6
Vardas30            Pavardė30          8      10     9      9      1      8      6      2      4      6      6      9      1      9      1      6
Vardas31            Pavardė31          8      2      9      10     9      6      1      1      2      7      7      10     2      8      6      10
Vardas32            Pavardė32          2      10     4      4      6      3      10     1      2      10     9      3      1      5      2      10
Vardas33            Pavardė33          8      10     9      9      10     3      4      7      3      7      9      3      9      5      1      5
Vardas34            Pavardė34          7      4      9      6      6      4      9      2      8      9      10     2      8      5      7      8
Vardas35            Pavardė35          2      5      7      9      1      4      9      1      7      5      8      8      2      7      8      3
Vardas36            Pavardė36          4      5      1      7      9      10     7      10     5      1      8      8      10     2      7      1
Vardas37            Pavardė37          3      4      7      2      10     3      4      8      6      6      2      8      6      6      6      1
Vardas38            Pavardė38          7      6      2      5      7      1      8      5      1      7      4      4      3      9      8      2
Vardas39            Pavardė39          4      5      5      9      5      4      7      5      6      7      3      6      6      8      9      7
Vardas40            Pavardė40          3      4      1      9      10     6      2      6      2      8      3      9      9      8      1      10
Vardas41            Pavardė41          4      10     7      1      1      10     6      8      2      6      7      6      9      8      5      10
Vardas42            Pavardė42          6      9      9      3      1      5      9      10     10     5      9      10     8      6      6      3
Vardas43            Pavardė43          2      7      1      9      7      5      9      2      2      3      7      6      4      5      7      10
Vardas44            Pavardė44          10     1      2      10     7      7      4      2      2      5      8      4      1      4      1      1
Vardas45            Pavardė45          2      3      1      10     4      2      9      9      2      1      9      1      8      2      9      9
Vardas46            Pavardė46          5      2      5      8      4      6      10     9      1      7      7      8      9      7      2      3
Vardas47            Pavardė47          9      4      1      3      10     1      10     1      2      8      9      10     2      3      5      9
Vardas48            Pavardė48          2      2      10     2      9      7      6      3      7      2      9      2      8      6      7      1
Vardas49            Pavardė49          8      1      8      2      10     5      6      8      4      4      1      7      4      6      9      10
Vardas50            Pavardė50          7      4      4      3      3      7      4      10     10     3      2      6      2      9      5      3
Vardas51            Pavardė51          4      4      3      6      8      10     6      5      6      7      10     4      8      5      10     9
Vardas52            Pavardė52          2      4      1      9      7      4      6      3      8      7      6      6      2      6      4      4
Vardas53            Pavardė53          5      8      9      8      4      3      6      5      8      3      7      7      5      2      2      10
Vardas54            Pavardė54          2      3      3      5      6      7      10     10     2      9      4      7      5      9      6      6
Vardas55            Pavardė55          9      2      9      5      7      3      1      3      7      9      3      3      5      9      5      3
Vardas56            Pavardė56          10     3      4      6      1      6      2      7      5      3      2      2      3      5      7      9
Vardas57            Pavardė57          7      9      2      1      6      7      5      4      7      9      2      10     1      3      4      5
Vardas58            Pavardė58          7      1      5      8      7      7      5      4      6      5      7      9      4      7      6      9
Vardas59            Pavardė59          9      7      1      3      4      2      1      2      3      10     3      1      4      2      5      1
Vardas60            Pavardė60          2      8      4      2      9      5      9      1      10     7      9      8      5      8      2      9
Vardas61            Pavardė61          7      2      1      5      3      10     7      2      3      6      7      1      1      5      10     10
Vardas62            Pavardė62          6      7      4      8      3      4      6      5      3      2      3      6      2      9      3      5
Vardas63            Pavardė63          1      10     3      7      9      2      7      3      5      6      3      3      8      1      6      5
Vardas64            Pavardė64          1      2      2      9      7      7      9      5      9      9      6      6      9      6      9      1
Vardas65            Pavardė65          7      2      10     5      2      10     8      9      6      9      2      2      5      7      1      3
Vardas66            Pavardė66          5      4      3      5      2      4      4      5      6      7      3      9      7      1      7      10
Vardas67            Pavardė67          2      6      1      6      5      7      9      8      7      9      3      8      7      1      10     8
Vardas68            Pavardė68          9      6      5      3      10     5      5      4      8      10     4      7      2      2      4      7
Vardas69            Pavardė69          2      8      6      10     8      10     4      2      1      9      2      2      8      9      5      5
Vardas70            Pavardė70          7      3      1      10     8      3      8      8      7      9      7      7      10     7      5      1
Vardas71            Pavardė71          8      3      8      4      5      5      7      4      4      2      3      9      1      9      4      5
Vardas72            Pavardė72          6      5      8      4      1      2      10     1      1      1      6      3      2      10     6      9
Vardas73            Pavardė73          4      5      8      4      8      5      4      7      1      10     1      1      9      9      9      5
Vardas74            Pavardė74          4      1      3      1      5      9      1      1      7      5      3      5      3      1      2      5
Vardas75            Pavardė75          1      3      7      9      2      5      1      9      1      6      8      9      7      4      1      3
Vardas76            Pavardė76          1      2      6      1      9      8      1      5      2      1      2      2      2      8      3      3
Vardas77            Pavardė77          7      1      10     7      9      7      1      10     10     6      4      3      8      3      7      6
Vardas78            Pavardė78          9      5      1      9      10     2      5      6      2      10     2      8      8      7      10     6
Vardas79            Pavardė79          7      8      4      1      6      10     7      2      3      1      9      6      7      6      6      10
Vardas80            Pavardė80          7      10     7      10     9      5      10     4      9      5      9      5      4      7      8      4
Vardas81            Pavardė81          5      7      8      10     6      3      1      3      2      4      6      2      6      5      10     10
Vardas82            Pavardė82          9      9      5      7      2      1      1      2      2      4      8      6      10     6      6      4
Vardas83            Pavardė83          4      4      6      7      9      6      3      8      8      10     5      8      9      4      3      1
Vardas84            Pavardė84          6      1      2      4      1      3      1      9      8      9      9      5      2      4      1      2
Vardas85            Pavardė85          3      4      8      9      5      9      4      5      9      9      4      10     4      8      1      10
Vardas86            Pavardė86          5      6      1      4      3      1      1      9      10     10     2      1      5      9      3      10
Vardas87            Pavardė87          8      7      7      6      5      3      10     10     5      1      4      5      5      7      2      7
Vardas88            Pavardė88          2      10     7      5      4      8      8      6      8      7      3      8      10     8      7      5
Vardas89            Pavardė89          6      10     1      8      5      9      8      10     10     1      2      10     2      9      6      8
Vardas90            Pavardė90          7      1      5      3      4      9      9      4      2      7      2      9      2      10     10     4
Vardas91            Pavardė91          3      4      3      4      5      8      5      2      10     10     3      1      6      3      2      7
Vardas92            Pavardė92          9      8      5      1      5      7      3      10     2      4      1      3      4      9      3      1
Vardas93            Pavardė93          10     4      7      7      7      5      10     8      9      7      10     2      6      1      1      7
Vardas94            Pavardė94          9      2      4      8      5      10     5      4      5      10     6      6      7      9      4      1
Vardas95            Pavardė95          4      3      9      10     9      8      2      1      2      6      1      7      10     9      9      5
Vardas96            Pavardė96          3      5      2      9      8      1      1      2      8      3      8      10     3      1      8      1
Vardas97            Pavardė97          10     3      10     3      9      8      5      9      5      4      9      9      8      7      10     4
Vardas98            Pavardė98          3      9      8      10     7      10     6      1      9      2      1      1      3      1      7      6
Vardas99            Pavardė99          5      1      1      1      3      8      6      10     2      6      3      7      1      5      2      3
Vardas100           Pavardė100         3      10     5      10     2      6      6      2      9      10     6      6      7      5      7      10
Vardas101           Pavardė101         1      5      6      5      10     6      9      10     2      4      7      3      4      2      3      4
Vardas102           Pavardė102         4      9      3      1      3      3      7      6      8      2      3      7      7      2      2      4
Vardas103           Pavardė103         1      6      2      5      3      9      2      10     10     9      9      10     6      1      6      6
Vardas104           Pavardė104         6      6      6      1      1      1      7      8      10     4      2      7      2      1      10     10
Vardas105           Pavardė105         9      5      10     9      5      5      6      8      1      6      6      1      1      1      2      1
Vardas106           Pavardė106         1      8      10     9      10     2      9      8      7      8      5      9      7      6      10     10
Vardas107           Pavardė107         5      5      3      10     3      6      5      5      3      1      3      8      6      10     10     4
Vardas108           Pavardė108         5      6      3      10     8      4      3      4      5      8      2      3      8      10     2      1
Vardas109           Pavardė109         7      1      1      4      6      3      6      1      2      7      7      1      1      9      5      8
Vardas110           Pavardė110         9      8      1      4      7      6      3      7      2      10     9      10     3      5      10     10
Vardas111           Pavardė111         2      5      4      2      2      3      3      6      2      10     7      5      1      7      4      9
Vardas112           Pavardė112         10     1      9      2      3      7      1      9      3      9      3      3      10     8      10     10
Vardas113           Pavardė113         4      1      3      5      7      4      6      3      7      5      1      7      10     10     7      1
Vardas114           Pavardė114         8      3      5      10     7      6      9      7      9      8      10     5      8      5      3      10
Vardas115           Pavardė115         9      2      8      6      10     4      6      2      8      8      1      6      6      2      10     4
Vardas116           Pavardė116         3      2      7      6      6      4      8      3      7      1      6      7      2      7      4      7
Vardas117           Pavardė117         8      10     3      5      9      4      4      7      9      5      9      5      10     1      8      9
Vardas118           Pavardė118         4      6      1      9      2      2      6      3      1      9      9      9      5      9      5      1
Vardas119           Pavardė119         4      9      6      3      1      9      2      6      5      6      8      9      5      6      6      9
Vardas120           Pavardė120         9      1      6      9      10     1      4      7      6      5      3      4      4      9      3      2
Vardas121           Pavardė121         3      7      9      7      3      5      4      9      10     1      4      3      3      5      9      2
Vardas122           Pavardė122         1      9      1      3      8      9      4      9      10     6      6      6      9      6      5      4
Vardas123           Pavardė123         3      6      4      3      4      10     2      5      5      3      9      6      3      5      2      6
Vardas124           Pavardė124         7      4      10     7      8      10     8      10     2      4      10     7      5      6      4      7
Vardas125           Pavardė125         1      6      6      7      1      4      10     1      7      6      9      10     5      9      10     3
Vardas126           Pavardė126         7      5      9      1      1      4      8      6      9      8      2      2      9      8      5      4
Vardas127           Pavardė127         8      3      10     9      3      4      5      3      2      6      10     4      3      5      6      1
Vardas128           Pavardė128         1      4      7      5      4      4      8      4      1      7      7      3      1      1      3      1
Vardas129           Pavardė129         9      7      10     4      4      6      8      1      7      7      1      2      7      2      4      10
Vardas130           Pavardė130         8      5      8      5      7      7      2      9      5      5      8      1      3      3      9      9
Vardas131           Pavardė131         4      9      4      3      9      10     5      3      3      3      5      6      8      10     2      3
Vardas132           Pavardė132         1      2      7      4      6      9      5      10     2      2      1      3      3      6      1      7
Vardas133           Pavardė133         7      1      6      6      8      4      4      2      6      4      1      7      6      3      2      9
Vardas134           Pavardė134         9      2      10     2      10     3      9      6      8      8      1      8      8      8      3      9
Vardas135           Pavardė135         7      4      3      4      3      4      3      6      4      10     10     10     4      6      10     3
Vardas136           Pavardė136         7      2      1      9      4      8      2      5      7      2      9      2      6      5      3      4
Vardas137           Pavardė137         8      9      9      1      2      5      1      6      2      3      6      7      1      6      4      4
Vardas138           Pavardė138         6      1      2      7      6      7      8      4      7      5      1      2      5      5      1      8
Vardas139           Pavardė139         1      9      9      10     4      4      4      7      2      8      2      9      7      4      3      1
Vardas140           Pavardė140         10     10     1      7      3      1      8      10     4      8      8      7      4      10     10     4
Vardas141           Pavardė141         7      6      9      5      9      2      3      10     3      1      6      9      9      5      6      1
Vardas142           Pavardė142         9      7      9      4      5      8      2      1      4      8      7      10     4      7      3      2
Vardas143           Pavardė143         1      1      2      8      6      3      5      1      8      3      10     9      7      10     5      8
Vardas144           Pavardė144         1      10     6      9      9      9      5      2      7      2      8      9      9      7      4      5
Vardas145           Pavardė145         8      5      3      2      9      6      2      8      5      9      5      1      10     9      7      5
Vardas146           Pavardė146         1      4      1      8      2      9      1      3      2      6      1      8      2      1      3      10
Vardas147           Pavardė147         10     3      3      2      3      9      2      10     7      5      10     3      1      10     10     10
Vardas148           Pavardė148         6      3      9      7      8      8      7      1      9      4      6      2      2      3      5      7
Vardas149           Pavardė149         2      1      4      3      3      3      1      2      8      7      9      5      4      1      8      4
Vardas150           Pavardė150         8      5      7      8      2      8      4      1      5      5      3      3      4      9      8      5
